Text;True Label;Predicted Label;Correct;Probabilities
la clase médica el ejercicio del análisis esta prohibición alcanzaría también a los miembros no médicos de la asociación psicoanalítica personas que poseen una excelente preparación perfeccionada ya por la práctica si tal prohibición se lleva a efecto resultará que se impide el ejercicio de una actividad a personas de las que se está convencido que la pueden ejercer a la perfección dejando en cambio libre el camino a otras que carecen en absoluto de garantías no es éste ciertamente el resultado que una ley puede proponerse conseguir además el especial problema planteado por el análisis profano no es ni tan urgente ni tan difícil de resolver trátase de un puñado de personas a quienes la prohibición no habría de causar graves daños probablemente emigrarían a alemania donde libres de toda traba legal encontrarían pronto el reconocimiento de su valía pero si se quiere ahorrarles todo esto y suavizar en su favor la dureza de la ley no será difícil hacerlo apoyándose en conocidos precedentes en el austria monárquica se han dado repetidos casos de concederse a curanderos notorios autorización para ejercer la actividad médica por constar evidentemente su perfecta capacidad en estos casos se trataba generalmente de personas residentes en pueblos y aldeas y la petición era siempre apoyada y garantizada por alguna de las muchas archiduquesas que existían entonces nada se opone a que se haga ahora lo mismo con respecto a personas avecindadas en las ciudades y que pueden presentar garantías si no tan aristocráticas mucho más peritas en la materia la prohibición de que hablamos tendría harto mayor importancia que para los actuales analistas no médicos para el instituto analítico de viena que no podría ya admitir a sus enseñanzas candidatos ajenos al círculo de la medicina con ello quedaría nuevamente suprimida en nuestra patria una orientación de la actividad espiritual que en otros países puede desarrollarse libremente soy ciertamente el último en aspirar a una especial competencia en la exégesis de leyes y reglamentos pero sí veo que una acentuación de nuestras disposiciones legales contra el curanderismo sería contraria a la tendencia hoy dominante de adaptarnos a las circunstancias alemanas además la aplicación de dicha ley al caso del psicoanálisis tendría algo de anacrónico pues en la época de su promulgación no existía aún nuestra disciplina ni era conocida la especial naturaleza de las enfermedades neuróticas llego ahora al problema cuya discusión me parece más importante el ejercicio del psicoanálisis debe ser objeto de una intervención oficial o por el contrario es más adecuado abandonarlo a su natural desarrollo no me toca a mí resolver esta cuestión pero sí he de permitirme rogarle que reflexione sobre ella en nuestra patria reina de muy antiguo un verdadero furor prohibendi una tendencia a dirigir intervenir y prohibir que como todos sabemos no ha dado precisamente buenos frutos la nueva austria republicana no ha cambiado mucho en cuanto a esto sospecho que en la resolución del caso del psicoanálisis que ahora nos ocupa podrá usted hacer pesar ya;Freud;Freud;True;{'Freud': '0.995', 'Kant': '0.005'}
que la argumentación de eggers contra el sueño antes citado de maury no me ha parecido muy convincente por mi parte propondría la siguiente explicación de este sueño sería muy inverosímil que el sueño de maury representase una fantasía conservada en su memoria desde mucho tiempo antes y despertada pudiera decirse aludida en el momento de percibir el sujeto el estímulo interruptor del reposo esta hipótesis hace desaparecer la dificultad que nos plantea la composición de tan larga y detallada historia en el brevísimo tiempo de que para ello ha dispuesto el durmiente pues supone la preexistencia de la historia completa si la varilla hubiese caído sobre el cuello de maury hallándose éste despierto habría quizá provocado la siguiente idea parece como si me guillotinaran pero maury está dormido y la elaboración onírica aprovecha rápidamente el estímulo dado para la producción de una realización de deseos como si pensase claro es que esto debe ser tomado figuradamente he aquí una buena ocasión para dar cuerpo a la fantasía optativa que en tal o cual épico me inspiró esta o aquella lectura que la novela soñada presenta todas las características de aquellas fantasías que suelen construir los jóvenes bajo el imperio de poderosas impresiones es cosa a mi juicio indiscutible quién no se siente arrastrado y mucho más siendo francés e historiador por las descripciones de los años del terror en los que la aristocracia francesa flor de la nación mostró cómo se puede morir con ánimo sereno y conservar hasta el último momento un sutilísimo ingenio y las más exquisitas maneras y cuán atractivo resulta imaginarse ser uno de aquellos hombres que besaban sonrientes la mano de sus compañeros de infortunio antes de subir con paso firme al cadalso o si la ambición de la fuerza que impulsa nuestra fantasía a identificarnos con una de aquellas formidables individualidades que sólo con el poder de sus ideas y de su ardiente elocuencia se impusieron a la ciudad en la que latía convulsivamente por entonces el corazón de la humanidad enviaron millares de hombres a la muerte con fervorosa convicción de servir a un elevadísimo ideal e iniciar una completa transformación de europa y cayeron a su vez bajo la cuchilla de la guillotina danton los girondinos un detalle del sueño de maury en medio de una inmensa multitud parece indicar que la fantasía que lo constituye era de este carácter ambicioso estas fantasías ha largo tiempo preexistentes no se desarrollan necesariamente durante el reposo en toda su extensión basta con que sean por decirlo así preludiadas quiero decir con esto lo siguiente cuando la música inicia unos compases cesando en seguida y alguien comenta como sucede en el don juan esto es de las bodas de fígaro de mozart surge en mí de repente una plenitud de reminiscencias de las que por el momento no llega nada hasta la conciencia así pues los compases preludiados y la frase a ellos referente constituyen la chispa que pone simultáneamente en movimiento todas las partes de un conjunto exactamente lo mismo puede muy bien suceder en el pensamiento inconsciente el estímulo despertador pone en movimiento;Freud;Freud;True;{'Freud': '0.999', 'Kant': '0.001'}
son muchas las cosas que quedan en la incertidumbre y muchos los problemas que siguen insolubles ya que lo que sabemos de la naturaleza no es en todos los casos suficiente ni de lejos en relación con lo que debemos explicar la cuestión es pues si hay en la filosofía trascendental alguna pregunta que se refiera a algún objeto presentado a la razón y que esta misma sea incapaz de responder si pode mos eludir legítimamente el dar tal respuesta decisiva utilizando el procedimiento de asignarla por ser incierta partiendo de lo que podemos conocer a un ámbito del que poseemos efectivamente conceptos suficientes como para plantear una pregunta pero en el que nos son del todo insuficientes los medios o la capacidad de dar una contesta ción pues bien sostengo que la filosofía trascendental se distingue entre todos los co nocimientos especulativos por lo siguiente ninguna pregunta referente a un objeto dado a la razón pura es insoluble para esta misma tazón humana y ningún pretexto basado en una ignorancia inevitable o en una insondable profundidad del problema puede eximir de la obligación de responderla rigurosa y completamente en efecto el mismo concepto que nos pone en disposición de hacer una pregunta debe capacitarnos también perfecta mente para responderla ya que el objeto como ocurre en el caso de lo legítimo y de lo ilegítimo no se encuentra fuera del concepto las cuestiones cosmológicas son las únicas en la filosofía trascendental ante las cuales puede exigirse legítimamente una respuesta satisfactoria sobre la índole del obje to respuesta a la que el filósofo no puede negarse alegando su oscuridad impenetrable tales cuestiones sólo pueden referirse a ideas cosmológicas pues el objeto tiene que darse empíricamente y la cuestión sólo atañe a si es adecuado a una idea si el objeto es trascendental y por tanto desconocido a su vez si por ejemplo el algo cuyo fenómeno en nosotros mismos es el pensamiento alma constituye un ser simple si hay una causa de todas las cosas que sea absolutamente necesaria etc entonces es preciso bus car un objeto para nuestra idea un objeto que podemos afirmar no conocer pero no que sea imposible debido a tal desconocimientok las ideas cosmológicas son las únicas que poseen la peculiaridad de poder presuponer como dados su objeto y la síntesis empírica que el concepto de ese objeto requiere la pregunta derivada de tales ideas se refiere tan sólo a la continuación de esa síntesis hasta la totalidad absoluta esta última ya no es empírica puesto que no puede darse en ninguna experiencia al no tratarse en este caso k no podemos responder a la pregunta relativa a cuál sea la naturaleza de un objeto tras cendental no podemos decir qué es ese objeto pero sí podemos afirmar que la misma pregunta no es nada ya que no se nos ha dado ningún objeto de ella todas las preguntas de la psicología trascendental pueden ser y son efectivamente contestadas en este sentido ya que se refieren al sujeto trascendental de todos los fenómenos internos sujeto que al no ser por su parte un fenóme no ni está dado como objeto ni reúne las condiciones requeridas para que le sean aplicables las categorías a las que sin embargo apunta la pregunta este es pues un caso en el que se verifica el dicho de que el no contestar es también una contestación es decir preguntar por la naturaleza de algo que debido a que está puesto enteramente fuera del campo de los objetos que pueden dárse nos no podemos pensar mediante ningún predicado;Kant;Kant;True;{'Freud': '0.000', 'Kant': '1.000'}
de reposo se desprende que dicha organización consiste en una distribución particular de la energía psíquica como sedimento del largo período infantil durante el cual el ser humano en formación vive en dependencia de sus padres fórmase en el yo una instancia especial que perpetúa esa influencia parental y a la que se ha dado el nombre de superyo en la medida en que se diferencia el yo o se le opone este superyo constituye una tercera potencia que el yo ha de tomar en cuenta una acción del yo es correcta si satisface al mismo tiempo las exigencias del yo del superyo y de la realidad es decir si logra conciliar mutuamente sus demandas respectivas los detalles de la relación entre el yo y el superyo se tornan perfectamente inteligibles reduciéndolos a la actitud del niño frente a sus padres naturalmente en la influencia parental no sólo actúa la índole personal de aquéllos sino también el efecto de las tradiciones familiares raciales y populares que ellos perpetúan así como las demandas del respectivo medio social que representan de idéntica manera en el curso de la evolución individual el superyo incorpora aportes de sustitutos y sucesores ulteriores de los padres como los educadores los personajes ejemplares los ideales venerados en la sociedad se advierte que a pesar de todas sus diferencias fundamentales el ello y el superyo tienen una cosa en común ambos representan las influencias del pasado el ello las heredadas el superyo esencialmente las recibidas de los demás mientras que el yo es determinado principalmente por las vivencias propias del individuo es decir por lo actual y accidental este esquema general de un aparato psíquico puede asimismo admitirse como válido para los animales superiores psíquicamente similares al hombre debemos suponer que existe un superyo en todo ser que como el hombre haya tenido un período más bien prolongado de dependencia infantil cabe también aceptar inevitablemente la distinción entre un yo y un ello la psicología animal no ha abordado todavía el interesante problema que aquí se plantea ii teoría de los instintos el poderío del ello expresa el verdadero propósito vital del organismo individual satisfacer sus necesidades innatas no es posible atribuir al ello un propósito como el de mantenerse vivo y de protegerse contra los peligros por medio de la angustia tal es la misión del yo que;Freud;Freud;True;{'Freud': '0.999', 'Kant': '0.001'}
la fantasía consciente muestre de nuevo la actitud femenina aunque referida ahora a la madre pero no queremos entrar a examinar las dudas cuando tenemos tan cerca la decisión la fantasía primitiva de las niñas yo soy maltratada o sea amada por mi padre corresponde desde luego como actitud femenina al sexo predominante y manifiesto en ellas y debería por tanto escapar a la represión no teniendo por qué devenir inconsciente pero en realidad es reprimida y sustituida por una fantasía consciente que niega el carácter sexual predominante esta teoría es pues inaprovechable para la comprensión de las fantasías de flagelación y queda rechazada por ellas podría objetarse que los sujetos que forjan estas fantasías son niños afeminados y niñas hombrunas o atribuir a un rasgo femenino del niño la génesis de la fantasía pasiva y a un rasgo masculino de la niña su represión probablemente aceptaríamos nosotros tal explicación pero no obstante la relación afirmada entre el carácter sexual manifiesto y la selección de lo destinado a la represión continuaría siendo insostenible en el fondo no vemos sino que tanto en los individuos masculinos como en los femeninos se dan a la vez impulsos masculinos y femeninos que pueden igualmente ser relegados a lo inconsciente por la represión la teoría de la protesta masculina parece resistir mejor el contraste con los fantasmas de flagelación tanto en el niño como en la niña corresponde esta fantasía a una actitud femenina o sea a una permanencia en la línea femenina y los dos sexos se apresuran a librarse de esta actitud por medio de la represión de todos modos la protesta masculina no parece alcanzar un éxito completo más que en las niñas en las cuales se nos of rece aquí realmente un ejemplo ideal de la acción de la protesta masculina en los niños el resultado no es completamente satisfactorio pues no queda abandonada la línea femenina obraremos pues de acuerdo con las consecuencias deducidas de la teoría reconociendo en esta fantasía un síntoma nacido del fracaso de la protesta masculina nos estorba sin embargo un tanto el hecho de que la fantasía de la niña nacida de la represión muestre también el valor y la significación de un síntoma en este caso en el que la protesta masculina ha conseguido por completo su intención debía faltar toda posibilidad de producción de síntomas antes de derivar de esta dificultad la sospecha de que la teoría de la protesta masculina es inaplicable a los problemas de la neurosis y las perversiones apartaremos nuestra atención de las fantasías de flagelación para orientarlas hacia otras manifestaciones instintivas de la vida sexual infantil que también sucumben a la represión es indudable que también existen deseos y fantasías que conservan desde un principio la línea masculina y son manifestaciones de impulsos instintivos masculinos por ejemplo los impulsos sádicos o los deseos del niño con relación a su madre emanados del complejo de edipo normal es igualmente indudable que también estos impulsos sucumben a la represión ahora bien si la protesta masculina;Freud;Freud;True;{'Freud': '1.000', 'Kant': '0.000'}
entre el mismo y los objetivos más caros a su corazón pero su entusiasmo tan admirable en un hombre de su avanzada edad no logró cautivar a otros la gente joven no compartió ese cálido entusiasmo y fue especialmente ferenczi quien expresó la opinión contraria la razón decisiva del rechazo que sufrieron las proposiciones de putnam fue la incertidumbre con respecto a cuál de los innumerables sistemas filosóficos habría de aceptarse dado que todos parecían estar fundados sobre bases igualmente frágiles y dado que hasta entonces se había sacrificado todo en aras de la relativa certeza que ofrecían los resultados del psicoanálisis parecía más prudente esperar hasta descubrir si una determinada actitud ante la vida podría sernos impuesta por la propia investigación psicoanalítica con todo el peso de la imperiosidad científica tenemos el deber de expresar nuestro agradecimiento a la viuda del autor señora de putnam por la colaboración prestada en lo que se refiere a los manuscritos a los derechos de publicación y al apoyo económico colaboración sin la cual este volumen no habría podido ser publicado para los trabajos numerados vi vii y x no disponíamos de manuscritos ingleses de modo que fueron traducidos por la doctora katherine jones del texto alemán original del propio putnam éste volumen mantendrá fresca en los círculos analíticos la memoria del amigo cuya pérdida deploramos tan profundamente ojalá sea la primera de una serie de publicaciones destinadas a estimular la comprensión y la aplicación del psicoanálisis en el mundo de habla inglesa fin al cual james j;Freud;Freud;True;{'Freud': '0.995', 'Kant': '0.005'}
raramente el incentivo de emprender investigaciones estéticas aunque no se pretenda ceñir la estética a la doctrina de lo bello sino que se la considere como ciencia de las cualidades de nuestra sensibilidad la actividad psicoanalítica se orienta hacia otros estratos de nuestra vida psíquica y tiene escaso contacto con los impulsos emocionales inhibidos en su fin amortiguados dependientes de tantas constelaciones simultáneas que forman por lo común el material de la estética sin embargo puede darse la ocasión de que sea impelido a prestar su interés a determinado sector de la estética tratándose entonces generalmente de uno que está como a trasmano que es descuidado por la literatura estética propiamente dicha lo unheimlich lo siniestro forma uno de estos dominios no cabe duda que dicho concepto está próximo a los de lo espantable angustiante espeluznante pero no es menos seguro que el término se aplica a menudo en una acepción un tanto indeterminada de modo que casi siempre coincide con lo angustiante en general sin embargo podemos abrigar la esperanza de que el empleo de un término especial unheimlich para denotar determinado concepto será justificado por el hallazgo en él de un núcleo particular en suma quisiéramos saber cuál es ese núcleo ese sentido esencial y propio que permite discernir en lo angustioso algo que además es siniestro poco nos dicen al respecto las detalladas exposiciones estéticas que por otra parte prefieren ocuparse de lo bello grandioso y atrayente es decir de los sentimientos de tono positivo de sus condiciones de aparición y de los objetos que los despiertan desdeñando en cambio la referencia a los sentimientos contrarios repulsivos y desagradables en cuanto a la literatura medicopsicológica sólo conozco la disertación de e jentsch que si bien plena de interés no agota el asunto he de confesar en todo caso que por motivos fáciles de adivinar dependientes de las circunstancias actuales no pude consultar a fondo la literatura respectiva particularmente la extranjera de modo que pongo este trabajo en manos del lector sin sustentar ninguna pretensión de prioridad jentsch señala con toda;Freud;Freud;True;{'Freud': '1.000', 'Kant': '0.000'}
dolencia por el procedimiento descrito y esta esperanza y no el hecho mismo de dar expresión verbal al recuerdo del proceso provocador y a su efecto concomitante sería el verdadero factor terapéutico pero no es así la primera observación de este género en la cual fue analizado en la forma indicada un complicadísimo caso de histeria siendo suprimidos por separado los síntomas separadamente originados procede del año o sea de la época presugestiva fue facilitada por autohipnosis espontánea del enfermo y causó al observador la mayor sorpresa invirtiendo el principio de cessante causa cessat effectus podemos muy bien deducir de estas observaciones que el proceso causal actúa aún de algún modo después de largos años y no indirectamente por mediación de una cadena de elementos causales intermedios sino inmediatamente como causa inicial del mismo modo que un antiguo dolor psíquico recordado en estado de vigilia provoca todavía las lágrimas así pues el histérico padecería principalmente de reminiscencias ii en un principio parece extraño que sucesos tan pretéritos puedan actuar con tal intensidad esto es que su recuerdo no sucumba al desgaste al que vemos sucumbir todos nuestros demás recuerdos las consideraciones siguientes nos facilitarán quizá la comprensión de estos hechos la debilitación o pérdida de afecto de un recuerdo depende de varios factores y sobre todo de que el sujeto reaccione o no enérgicamente al suceso estimulante entendemos aquí por reacción toda la serie de reflejos voluntarios e involuntarios desde el llanto hasta el acto de venganza en los que según sabemos por experiencia se descargan los afectos cuando esta reacción sobreviene con intensidad suficiente desaparece con ella gran parte del afecto en cambio si se reprime la reacción queda el afecto ligado al recuerdo el recuerdo de una ofensa castigada aunque sólo fuese con palabras es muy distinto del de otra que hubo de ser tolerada sin protesta la reacción del sujeto al trauma sólo alcanza un efecto catártico cuando es adecuado por ejemplo la venganza pero el hombre encuentra en la palabra un subrogado del hecho con cuyo auxilio puede el afecto ser también casi igualmente descargado por reacción abreagiert en otros casos es la palabra misma el reflejo adecuado a título de lamentación o de alivio del peso de un secreto la confesión cuando no llega a producirse tal reacción por medio de actos o palabras y en los casos más leves por medio de llanto el recuerdo del suceso conserva al principio la acentuación afectiva la descarga por reacción no es sin embargo el único medio de que dispone el mecanismo psíquico normal del individuo sano para anular los efectos de un trauma psíquico el recuerdo del trauma entra aunque no haya sido descargado por reacción en el gran complejo de la asociación yuxtaponiéndose a otros sucesos opuestos quizá a él;Freud;Freud;True;{'Freud': '0.999', 'Kant': '0.001'}
de una conexión tal de las cosas en sí mismas de cómo pueden existir como substancia o cómo pueden actuar como causa o cómo pueden estar en comunidad con otras como partes de un todo real y aunque aún menos pueda pensar tales propiedades en los fenómenos como fenómenos pues aquellos conceptos no contienen nada que esté en los fenómenos sino aquello que el entendimiento solamente debe pensar sin embargo de tal conexión de las representacio nes en nuestro entendimiento y propiamente en los juicios en general tenemos un concepto así a saber que en una clase de juicios las representaciones deben estar como sujeto con respecto a predicados en otra clase como fundamento en relación con una consecuencia y en una tercera clase comopartes que juntas integran unconocimiento posible com pleto además conocemos a priori que si no considerásemos la representación de un objeto como determinada con res pecto a uno u otro de estos momentos no podríamos tener ningún conocimiento válido del objeto y si nos ocupásemos en el objeto en sí mismo no sería posible ningún indicio por el cual yo pudiese reconocer que este objeto estuviese deter minado con respecto a uno u otro de los mencionados mo mentos esto es que debiese ser colocado bajo el concepto desubstancia o de causa o en relación con otras substancias bajo el concepto de comunidad pues no tengo ningún con cepto de la posibilidad de una conexión tal de la existencia pero la cuestión no es cómo están determinadas las cosas en sí con respecto a los mencionados momentos de los juicios en general sino cómo está determinado el conocimiento em pírico de las cosas con respecto a tales momentos esto es cómo pueden y deben ser subordinadas las cosas como obje tos de la experiencia a aquellos conceptos del entendimiento y entonces es claro que entiendo perfectamente no sólo la posibilidad sino también la necesidad de subordinar todos los fenómenos a esos conceptos esto es;Kant;Kant;True;{'Freud': '0.001', 'Kant': '0.999'}
juicio más reservados y precavidos que hasta aquí la situación misma en la que nos encontramos al comienzo de nuestra investigación será la que nos indique el camino el objeto de esta investigación queremos que sea el yo nuestro propio yo pero acaso es posible tal cosa si el yo es propiamente el sujeto cómo puede pasar a ser objeto y el caso es que evidentemente puede ser así el yo puede tomarse a sí mismo como objeto puede tratarse a sí mismo como a otros objetos observarse criticarse etc en todo ello una parte del yo se enfrenta al resto el yo es pues disociable se disocia en ocasión de algunas de sus funciones por lo menos transitoriamente y los fragmentos pueden luego unirse de nuevo todo esto no es ninguna novedad sino más bien una acentuación inhabitual de cosas generalmente conocidas por otro lado sabemos ya que la patología con su poder de amplificación y concreción puede evidenciarnos circunstancias normales que de otro modo hubieran escapado a nuestra perspicacia allí donde se nos muestra una fractura o una grieta puede existir normalmente una articulación cuando arrojamos al suelo un cristal se rompe mas no caprichosamente se rompe con arreglo a sus líneas de fractura en pedazos cuya delimitación aunque invisible estaba predeterminada por la estructura del cristal también los enfermos mentales son como estructuras agrietadas y rotas no podemos negarles algo de aquel horror respetuoso que los pueblos antiguos testimonian a los locos se han apartado de la realidad exterior pero precisamente por ello saben más de la realidad psíquica interior y pueden descubrirnos cosas que de otro modo serían inaccesibles para nosotros de un grupo de estos enfermos decimos que padecen del delirio de ser observados se nos lamentan de verse agobiados constantemente hasta en sus más íntimas actividades por la observación vigilante de poderes desconocidos probablemente personales y sufren alucinaciones en las que oyen cómo tales personas publican los resultados de su observación ahora dice tal cosa ahora se está vistiendo para salir etc esta observación no equivale todavía a una persecución pero le falta muy poco supone que se desconfía del sujeto que se espera sorprenderle en la comisión de algo ilícito por lo cual será castigado qué pasaría si estos dementes tuvieran razón si en todos nosotros existiera en el yo una tal instancia vigilante y amenazadora que en los enfermos mentales sólo se hubiera separado francamente del yo y hubiera sido erróneamente desplazada a la realidad exterior no sé si a vosotros os sucederá lo que a mí desde el momento en que bajo la intensa impresión de este cuadro patológico concebí la idea de que la separación de una instancia observadora del resto del yo podía ser un rasgo regular de la estructura del yo no he podido alejarla de mí y me ha impulsado a investigar los demás caracteres y relaciones de la instancia así disociada el primer paso es fácil ya el contenido del delirio de ser observado;Freud;Freud;True;{'Freud': '0.998', 'Kant': '0.002'}
